CADA; 8,27,28,23,20,19,13;
CADENA; 7,17,16,4,30,29,26,25,24,10,9,6,5,31,20,19,11;
CAMPO; 7,31,11,8,10,4,16,12,9,6,5,27,19,17,13;
CAMPOS; 31,12,20,11,8,19,30,29,28,26,25,24,17,10,9,7,6,5,4,3;
CARACTERES; 7,17,16,4,31,11,30,29,26,25,24,10,9,6,5,20,19;
CATEGORÍAS; 28,23;
CIUDAD; 24,4;
COLECCIONES; 26,27,6;
COLECCIÓN; 26,7,6,3,27,23;
COMO; 27,20,19,10;
COMPARTE; 8;
COMPARTIDOS; 8;
CON; 31,30,17,29,26,25,24,20,27,12,19,16,11,9,6,5,4;
CONFORMADO; 8;
CONTACTO; 4,24,17,16;
CONTENGA; 7;
CONTIENE; 8,31;
CONTRARIO; 12;
CONTRASEÑA; 17,16;
COPIAR; 4;
CORREO; 24,17,4,16;
CORRESPONDE; 22,2;
CORRESPONDEN; 12;
CORRESPONDIENTES; 13;
CREACIÓN; 11,10,9,7,6,5,4;
CREADA; 7;
CREADAS; 29,26,25,31,30,27,9,6,5,4;
CREADO; 8,3;
CREADOS; 17,31,30,24,20,19,16,12,11;
CREAR; 19,16,15,7,28,23,18,8,3;
CUAL; 17,16,24,31,30,29,26,25,20,19;
CUALES; 8;
CUENTA; 28,27,23,12,10,7;
CULTURA; 25,7,5,27,3;
CULTURAS; 25,5,23,6,3;
